##############
# CLUSTER 41 #
##############

attribute prevalence  =   1004 / 110100 = 0.009119
                               master barber          2    0.000003
                        mathematics, biology          2    0.000003
                            mediekoordinator          2    0.000003
                             mfa visual arts          2    0.000003
                          music - conducting          2    0.000003
 music, theatre and entertainment management          2    0.000003
                                  precollege          2    0.000003
                           psychology, ph.d.          2    0.000003
                                   shamanism          2    0.000003
                            studentereksamen          2    0.000003
                         sähkövoimatekniikka          2    0.000003
                            tekniske byggfag          2    0.000003
                           theaterwetenschap          2    0.000003
   web - programming and internet technology          2    0.000003
                                written arts          2    0.000003
                                      #$@$#%          1    0.000002
                           (more) accounting          1    0.000002
                                     0-9 kl.          1    0.000002


##############
# CLUSTER 94 #
##############

attribute prevalence  =    520 / 110100 = 0.004723
occurrence prevalence =  11342 / 626862 = 0.018093

                                         attribute  frequency  prevalence
                            mechanical engineering       6931    0.011057
                              chemical engineering       2482    0.003959
                            biomedical engineering       1368    0.002182
                  master in mechanical engineering          4    0.000006
                    engineering project management          3    0.000005
                                               taf          3    0.000005
                          technische bestuurskunde          3    0.000005
                              стопански мениджмънт          3    0.000005
                                          9 klasse          2    0.000003
                 advanced manufacturing technology          2    0.000003
                                 angol-informatika          2    0.000003
                                    apprenticeship          2    0.000003
                               b.a. in photography          2    0.000003
                              b.sc in neuroscience          2    0.000003
                     b.tech-information technology          2    0.000003
         business and computer information systems          2    0.000003
                              business/engineering          2    0.000003
                                     class of 2006          2    0.000003
                                   doctoral thesis          2    0.000003
                                 gcse's / a levels          2    0.000003
                                good enough degree          2    0.000003
                                              gphy          2    0.000003
                               history/archaeology          2    0.000003
     international baccalaureate bilingual diploma          2    0.000003
                        m.sc. chemical engineering          2    0.000003
   masinski tehnicar za kompjutersko konstruisanje          2    0.000003
                               master of chemistry          2    0.000003
          master of commerce (information systems)          2    0.000003
                      master of fashion technology          2    0.000003
                                       mba courses          2    0.000003
                                         mech engr          2    0.000003
                                mechanical drawing          2    0.000003
                      ms manufacturing engineering          2    0.000003
         multimedia and computer games development          2    0.000003
                    phd in business administration          2    0.000003
                                        pre dental          2    0.000003
                                               rpe          2    0.000003
                     secure and forensic computing          2    0.000003
                                  tool engineering          2    0.000003
                                             כימיה          2    0.000003
                                              전자계산          2    0.000003
                                            (1995)          1    0.000002
            (honors bsc) human biology / economics          1    0.000002
                         (thesis msc) neuroscience          1    0.000002
                                                01          1    0.000002
                    11th and 12th science standard          1    0.000002
                                           1st puc          1    0.000002
                        2-year computer technology          1    0.000002
                                           2nd-8th          1    0.000002
 3d arts/animation, visual effects and motion g...          1    0.000002


##############
# CLUSTER 65 #
##############

attribute prevalence  =    450 / 110100 = 0.004087
occurrence prevalence =  10339 / 626862 = 0.016493

                         attribute  frequency  prevalence
                          medicine       2031    0.003240
                           nursing       1395    0.002225
                   music education        742    0.001184
                       linguistics        624    0.000995
                       art history        513    0.000818
                              j.d.        481    0.000767
                         animation        404    0.000644
                           geology        358    0.000571
                        studio art        317    0.000506
                        undeclared        262    0.000418
              bsc computer science        254    0.000405
                        literature        246    0.000392
                    music business        216    0.000345
                     human biology        197    0.000314
                        networking        158    0.000252
            comparative literature        151    0.000241
                           pre-med        134    0.000214
      computer information science         78    0.000124
                             stuff         72    0.000115
                        arquitecto         69    0.000110
                        associates         56    0.000089
 civil & environmental engineering         53    0.000085
        english - creative writing         53    0.000085
             finance and economics         50    0.000080
                          transfer         50    0.000080
                        visual art         48    0.000077
                      pre-medicine         44    0.000070
                               hhx         43    0.000069
             radio-television-film         40    0.000064
              associate of science         37    0.000059
                     bsc computing         36    0.000057
                           welding         35    0.000056
          msc software engineering         34    0.000054
                  commercial music         30    0.000048
        computer games programming         28    0.000045
                               mls         28    0.000045
          management of technology         26    0.000041
                 technical writing         25    0.000040
                   english/writing         22    0.000035
                          atheneum         21    0.000034
                 cinema-television         21    0.000034
         interactive digital media         21    0.000034
      communications and new media         20    0.000032
                    ethnic studies         20    0.000032
                  particle physics         20    0.000032
