#############
# CLUSTER 3 #
#############

attribute prevalence  =   6437 / 246973 = 0.026064
             international school of islamabad          3    0.000003
                             kensington school          3    0.000003
       louisiana state university - shreveport          3    0.000003
                   montessori lyceum amsterdam          3    0.000003
                            neston high school          3    0.000003
         north manchester high school for boys          3    0.000003
                                  smk seafield          3    0.000003
                telkom institute of management          3    0.000003
           universidad de puerto rico mayaguez          3    0.000003
             university of applied arts vienna          3    0.000003
                     university of bordeaux iv          3    0.000003
                      zsigmond király főiskola          3    0.000003
                                 american high          2    0.000002
                              arbroath academy          2    0.000002
                  atlantis medisinske høgskole          2    0.000002


##############
# CLUSTER 46 #
##############

attribute prevalence  =  10069 / 246973 = 0.040770
occurrence prevalence =  30750 / 928097 = 0.033132

                                         attribute  frequency  prevalence
                 universidade estadual de campinas        434    0.000468
            universidade federal do rio de janeiro        312    0.000336
                                               usp        289    0.000311
                         universidade de são paulo        279    0.000301
                                             unesp        264    0.000284
                                              ufrj        250    0.000269
              universidade federal de minas gerais        247    0.000266
                        anhembi morumbi university        234    0.000252
                             universidade do minho        227    0.000245
                                              ufmg        219    0.000236
                 parsons the new school for design        216    0.000233
                 mackenzie presbyterian university        208    0.000224
                                             ufrgs        204    0.000220
                                              unip        199    0.000214
                          estácio de sá university        198    0.000213
            universidade federal de santa catarina        198    0.000213
                                              espm        194    0.000209
                           university of são paulo        181    0.000195
                    universidade federal do paraná        180    0.000194
 pontifícia universidade católica do rio de jan...        177    0.000191
                                              ufsc        171    0.000184
       pontifical catholic university of são paulo        170    0.000183
                                               fgv        167    0.000180
                          universidade de brasília        163    0.000176
                                              ufpe        159    0.000171
                   universidade federal fluminense        155    0.000167
                            universidade de aveiro        154    0.000166
                        universidade estácio de sá        153    0.000165
                                              ufpr        134    0.000144
                                         puc minas        124    0.000134
                universidade federal de pernambuco        124    0.000134
                                            ufscar        122    0.000131
                                               unb        122    0.000131
                                              uerj        121    0.000130
                                          unisinos        121    0.000130
                             universidade paulista        120    0.000129
         escola superior de propaganda e marketing        118    0.000127
                                   miami ad school        117    0.000126
         universidade federal do rio grande do sul        113    0.000122
       universidade federal do rio grande do norte        108    0.000116
              universidade presbiteriana mackenzie        108    0.000116
                                              faap        100    0.000108
                                           puc-rio         98    0.000106
          universidade do estado do rio de janeiro         98    0.000106
                                             utfpr         96    0.000103
                       federal university of ceará         95    0.000102
                      universidade são judas tadeu         94    0.000101
 pontifícia universidade católica do rio grande...         93    0.000100
                 universidade estadual de londrina         91    0.000098
  pontifícia universidade católica de minas gerais         89    0.000096


#############
# CLUSTER 1 #
#############

attribute prevalence  =   4205 / 246973 = 0.017026
occurrence prevalence =  30180 / 928097 = 0.032518

                                         attribute  frequency  prevalence
                        instituto superior técnico        270    0.000291
                           university of cape town        262    0.000282
                     american university of beirut        201    0.000217
    norwegian university of science and technology        199    0.000214
                             university of aalborg        181    0.000195
          lahore university of management sciences        171    0.000184
 bangladesh university of engineering and techn...        169    0.000182
                              hogeschool rotterdam        169    0.000182
                              kettering university        169    0.000182
   budapest university of technology and economics        165    0.000178
                          hogeschool van amsterdam        164    0.000177
                              university of aarhus        164    0.000177
 university college cork - national university ...        160    0.000172
                    katholieke universiteit leuven        151    0.000163
