#############
# CLUSTER 0 #
#############

attribute prevalence  = 106884 / 555819 = 0.192300
occurrence prevalence = 558503 / 626862 = 0.890950

                        attribute  frequency  prevalence
                                               med         15    0.000024
                                      bs education         11    0.000018
                           technology in education         11    0.000018
                         master of library science         10    0.000016
                                         art major          9    0.000014
                  elementary and special education          8    0.000013
                      elementary/special education          7    0.000011
                                              msed          6    0.000010
                           ba elementary education          4    0.000006
                                   ba in education          4    0.000006
                     graduate diploma of education          4    0.000006
                       m.a. educational leadership          4    0.000006
                           m.ed. special education          4    0.000006
                 bachelors of science in education          3    0.000005
                               diploma of teaching          3    0.000005
                            doctorate of education          3    0.000005
                 educational technology leadership          3    0.000005
                                french and english          3    0.000005
                              school library media          3    0.000005
                                 b.s. in education          2    0.000003
                            business administratio          2    0.000003
                                     ed leadership          2    0.000003
                           education certification          2    0.000003
               instructional technology specialist          2    0.000003
                     m.ed instructional technology          2    0.000003
             masters in educational administration          2    0.000003
                   ph.d., instructional technology          2    0.000003
   b.a. in computer management information systems          1    0.000002
                  b.a., paralegal studies/business          1    0.000002
              bachelor of music in music education          1    0.000002
 bachelor of science - major in english, minor ...          1    0.000002
        bachelor of science in forestry management          1    0.000002
                               biology, journalism          1    0.000002
                              bs in elementary ed.          1    0.000002
                                       bs in music          1    0.000002
   bsc (experimental physics, applied mathematics)          1    0.000002
                             c&i doctorate program          1    0.000002
                                credentialing prep          1    0.000002
 doctor of education in curriculum and instruction          1    0.000002
                             doctorate, ed ldrship          1    0.000002


##############
# CLUSTER 49 #
##############

attribute prevalence  =    246 / 555819 = 0.000443
occurrence prevalence =    773 / 626862 = 0.001233

                          attribute  frequency  prevalence
                                fit         47    0.000075
                      strojírenství         26    0.000041
                 výpočetní technika         24    0.000038
  international development studies         22    0.000035
                       mechatronika         19    0.000030
                                ???         18    0.000029
               pozemní stavitelství         14    0.000022
                       programování         14    0.000022
                     geoinformatics         13    0.000021
        slaboproudá elektrotechnika         13    0.000021
                všeobecné gymnázium         13    0.000021
 information systems and management         12    0.000019
                mechanik elektronik         12    0.000019
   fakulta informačních technologií         11    0.000018
                          podnikání         11    0.000018
                              právo         11    0.000018
             history and philosophy         10    0.000016
              elektronické počítače          9    0.000014
             faculty of informatics          9    0.000014
            informatika v ekonomice          9    0.000014
             softwarové inženýrství          9    0.000014
                                fce          8    0.000013
                  elektroenergetika          7    0.000011
            marketingové komunikace          7    0.000011
                  new media studies          7    0.000011
                stiinte ale naturii          7    0.000011
                    economic policy          6    0.000010
                  ekonomika podniku          6    0.000010
                                fel          6    0.000010
             hotelnictví a turismus          6    0.000010
                                msp          6    0.000010
       správce informačních systémů          6    0.000010
                  základní vzdělání          6    0.000010
                       žurnalistika          6    0.000010
             ekonomická informatika          5    0.000008
                         elektrikář          5    0.000008
              informatic management          5    0.000008
                 informační systémy          5    0.000008
           komerční elektrotechnika          5    0.000008
             manažerská informatika          5    0.000008
        mechanik počítačových sietí          5    0.000008
                 mechanik seřizovač          5    0.000008
