#############
# CLUSTER 0 #
#############

attribute prevalence  =  71961 / 555819 = 0.129468
occurrence prevalence = 101735 / 626862 = 0.162292

                     tài chính - ngân hàng         21    0.000034
                                      isds         20    0.000032
                                         e         19    0.000030
                             foreign trade         19    0.000030
            master of software engineering         18    0.000029


#############
# CLUSTER 7 #
#############

attribute prevalence  =      1 / 555819 = 0.000002
occurrence prevalence =   6995 / 626862 = 0.011159

            attribute  frequency  prevalence
 computer engineering       6995    0.011159


##############
# CLUSTER 15 #
##############

attribute prevalence  =      1 / 555819 = 0.000002
occurrence prevalence =   6931 / 626862 = 0.011057

              attribute  frequency  prevalence
 mechanical engineering       6931    0.011057


#############
# CLUSTER 4 #
#############

attribute prevalence  =     54 / 555819 = 0.000097
occurrence prevalence =   6867 / 626862 = 0.010955

                                         attribute  frequency  prevalence
                                        accounting       2701    0.004309
                                                it       2357    0.003760
                                            design        652    0.001040
                                              cntt        205    0.000327
                                           college        205    0.000327
                               công nghệ thông tin        122    0.000195
                                          software        112    0.000179
                                        automation        103    0.000164
                                               fsc         49    0.000078
                               quản trị kinh doanh         41    0.000065
                                internet marketing         35    0.000056
                                             study         26    0.000041
                                          học sinh         25    0.000040
                             infomation technology         25    0.000040
                               software technology         22    0.000035
                                         kiến trúc         17    0.000027
                            business administrator         16    0.000026
                                         ngân hàng         16    0.000026
                                công nghệ phần mềm         14    0.000022
                                          chém gió         12    0.000019
                                         phổ thông         12    0.000019
                                           tin học         12    0.000019
                                         sinh viên         11    0.000018
                                           kinh tế          9    0.000014
                                       chuyên toán          7    0.000011
                                         financial          6    0.000010
                                    điện - điện tử          6    0.000010
                                      luật quốc tế          4    0.000006
                                               tin          4    0.000006
                                            đầu tư          4    0.000006
                              chăn nuôi trồng trọt          3    0.000005
                               cong nghe thong tin          3    0.000005
                                       kinh tế học          3    0.000005
                                              tmdt          3    0.000005
                                              đtvt          3    0.000005
                                              acna          2    0.000003
                                              bsdk          2    0.000003
                                       wind energy          2    0.000003
                                     cn môi trường          1    0.000002
 construction materials engineering and technology          1    0.000002
         công nghệ phần mềm - software engineering          1    0.000002
                                      cầu đường bộ          1    0.000002
   electronic engineering - information technology          1    0.000002
                 eng 4 -  bussiness administration          1    0.000002
                                      hs trung học          1    0.000002
                                              khmt          1    0.000002
                             kiến trúc & quy hoạch          1    0.000002
                                      làm lốp ô-tô          1    0.000002
                  quản trị mạng & bảo mật hệ thống          1    0.000002
                                quản trị tài chính          1    0.000002


##############
# CLUSTER 39 #
##############

attribute prevalence  =     92 / 555819 = 0.000166
occurrence prevalence =   6801 / 626862 = 0.010849

                         attribute  frequency  prevalence
                          medicine       2031    0.003240
                   music education        742    0.001184
                              j.d.        481    0.000767
                         animation        404    0.000644
                          politics        320    0.000510
                        studio art        317    0.000506
                        undeclared        262    0.000418
              bsc computer science        254    0.000405
                        literature        246    0.000392
                    music business        216    0.000345
                        networking        158    0.000252
            comparative literature        151    0.000241
                           pre-med        134    0.000214
                        technology         82    0.000131
      computer information science         78    0.000124
                        arquitecto         69    0.000110
 civil & environmental engineering         53    0.000085
        english - creative writing         53    0.000085
             finance and economics         50    0.000080
                          transfer         50    0.000080
                      pre-medicine         44    0.000070
                               hhx         43    0.000069
             radio-television-film         40    0.000064
              associate of science         37    0.000059
                     bsc computing         36    0.000057
                           welding         35    0.000056
          msc software engineering         34    0.000054
                  commercial music         30    0.000048
                               mls         28    0.000045
                 technical writing         25    0.000040
                 cinema-television         21    0.000034
      communications and new media         20    0.000032
                  particle physics         20    0.000032
                 theatre education         19    0.000030
           classical civilizations         17    0.000027
                 homeland security         17    0.000027
                  transfer studies         17    0.000027
                          not much         12    0.000019
                       print media         12    0.000019
           radio, television, film         11    0.000018
              b.s computer science         10    0.000016
                   semester abroad         10    0.000016
                       video games         10    0.000016
  interactive media and web design          9    0.000014
                            nature          8    0.000013
               history, psychology          7    0.000011
     bsc in mechanical engineering          6    0.000010
