##############
# CLUSTER 22 #
##############

attribute prevalence  =   1464 / 555819 = 0.002634
              engenharia de computação        273    0.000436
                ciências da computação        269    0.000429
                    comunicação social        256    0.000408
                engenharia informática        216    0.000345
 análise e desenvolvimento de sistemas        202    0.000322
                      engenharia civil        165    0.000263
             administração de empresas        150    0.000239
            ensino fundamental e médio        138    0.000220
  bacharelado em ciência da computação        136    0.000217
                             graduação        129    0.000206
                              mestrado        129    0.000206
                          ensino medio        124    0.000198
                    desenho industrial        123    0.000196
                              historia         87    0.000139
               relações internacionais         82    0.000131
                 técnico em eletrônica         71    0.000113
                       ensino superior         54    0.000086
                             geografia         50    0.000080
                informática industrial         40    0.000064
                                inglês         33    0.000053
                            telemática         32    0.000051
                ciencias da computação         31    0.000049
    gestão da tecnologia da informação         20    0.000032
                        design grafico         14    0.000022
                 ensino médio completo         14    0.000022
                engenharia metalúrgica          7    0.000011
                ciências farmacêuticas          6    0.000010
                 línguas e humanidades          6    0.000010
                         1ª a 4ª série          5    0.000008
                administração empresas          5    0.000008
                 ensino medio completo          5    0.000008
                  ensino médio técnico          5    0.000008
                mba gestão de projetos          5    0.000008
 montagem e manutenção de computadores          5    0.000008
                              2º  grau          4    0.000006
                         5ª a 8ª série          4    0.000006
                          adm. pública          4    0.000006
          artes plásticas e multimédia          4    0.000006


#############
# CLUSTER 3 #
#############

attribute prevalence  =   1937 / 555819 = 0.003485
occurrence prevalence =  11568 / 626862 = 0.018454

                                attribute  frequency  prevalence
                     software engineering       2654    0.004234
                       teknik informatika        450    0.000718
                             microbiology        388    0.000619
                                      ipa        359    0.000573
                  electronics engineering        352    0.000562
                        computer engineer        329    0.000525
                         entrepreneurship        272    0.000434
                       communication arts        190    0.000303
                  informatics engineering        173    0.000276
                      electrical engineer        163    0.000260
                 mechatronics engineering        146    0.000233
                         sistem informasi        143    0.000228
        journalism and mass communication        111    0.000177
                 applied computer science        105    0.000168
 information and communication technology        102    0.000163
       bachelor of information technology        100    0.000160
                               วิทย์-คณิต         92    0.000147
               master of computer science         88    0.000140
                            ilmu komputer         75    0.000120
                                     bsit         72    0.000115
                      วิทยาการคอมพิวเตอร์         69    0.000110
                                    ph.d.         68    0.000108
                        social psychology         65    0.000104
                                 o levels         60    0.000096
                   automotive engineering         59    0.000094
                                  medical         59    0.000094
                      วิศวกรรมคอมพิวเตอร์         55    0.000088
                                akuntansi         54    0.000086
                     financial management         53    0.000085
                                 sci-math         51    0.000081
                    bsc. computer science         50    0.000080
                                  elektro         50    0.000080
                             math-science         49    0.000078
                         material science         48    0.000077
                                      fit         47    0.000075
                             science-math         47    0.000075
                              agriculture         46    0.000073
                    manajemen informatika         45    0.000072
                           teknik elektro         43    0.000069
                    b.sc computer science         42    0.000067
                         physical science         42    0.000067
                            master degree         39    0.000062
                        เทคโนโลยีสารสนเทศ         37    0.000059
                          bachelor degree         36    0.000057
        diploma in information technology         36    0.000057
                                    igcse         36    0.000057
                 architectural technology         35    0.000056
                        business computer         35    0.000056
                                 math-sci         33    0.000053
              computer system engineering         30    0.000048


##############
# CLUSTER 37 #
##############

attribute prevalence  =    911 / 555819 = 0.001639
occurrence prevalence =  11421 / 626862 = 0.018219

                            attribute  frequency  prevalence
               information technology       4275    0.006820
         computer information systems       1444    0.002304
                              nursing       1395    0.002225
                     criminal justice        953    0.001520
                    general education        677    0.001080
                  computer networking        351    0.000560
                  engineering science        142    0.000227
                                  ged        139    0.000222
                         neurobiology        115    0.000183
                       youth ministry         74    0.000118
                   biological science         69    0.000110
             computer network systems         61    0.000097
     web design and interactive media         60    0.000096
                automotive technology         57    0.000091
                     music production         57    0.000091
                    medical assistant         48    0.000077
                                  lcc         43    0.000069
                associates in science         36    0.000057
                                  eet         33    0.000053
                          phd student         31    0.000049
                 technical management         31    0.000049
                          it security         30    0.000048
                     medieval studies         29    0.000046
                        business mgmt         25    0.000040
             digital media production         24    0.000038
    new media interactive development         23    0.000037
                   business - finance         17    0.000027
                                  cad         17    0.000027
                             language         17    0.000027
  electronic and computer engineering         14    0.000022
                                  lpn         14    0.000022
              advertising photography         12    0.000019
                    mechanical design         10    0.000016
                  new media marketing          9    0.000014
                     respiratory care          9    0.000014
                     advanced potions          8    0.000013
                               allmen          8    0.000013
       computer networking & security          8    0.000013
            master's computer science          8    0.000013
                                  cai          7    0.000011
                  computer operations          7    0.000011
          diploma in computer studies          7    0.000011
 ingegneria informatica specialistica          6    0.000010
           bachelor of social science          5    0.000008
                    bfa - photography          5    0.000008
                        computer sci.          5    0.000008
                        førskolelærer          5    0.000008
                      medical billing          5    0.000008
              science and engineering          5    0.000008
                accounting & business          4    0.000006


#############
# CLUSTER 5 #
#############

attribute prevalence  =   7663 / 555819 = 0.013787
occurrence prevalence =  11359 / 626862 = 0.018120

                                         attribute  frequency  prevalence
                                   elektrotechniek         18    0.000029
                       elektrotehnik računalništva         18    0.000029
                                            musikk         16    0.000026
                                       הנדסת תוכנה         16    0.000026
                              computer information         15    0.000024
                                 telecomunications         15    0.000024
                                      datatekniker         14    0.000022
                       desenvolvimento de software         14    0.000022
                                interaktionsdesign         14    0.000022
                               business technology         13    0.000021
                                             musik         13    0.000021
